state,designations,population_in_hpsa,pct_need_met,dentists_needed
Alabama,92,755541,24.33,139
Alaska,345,788308,54.74,83
Arizona,287,3416091,34.51,556
Arkansas,157,1109146,22.69,229
California,591,3634892,36.35,577
Colorado,128,1219930,54.88,129
Connecticut,56,899409,21.39,178
Delaware,16,618161,4.15,160
District of Columbia,10,90280,2.9,22
Florida,292,6222405,19.74,1314
Georgia,186,1922418,17.57,402
Hawaii,35,283033,36.43,49
Idaho,98,452047,37.48,70
Illinois,289,2529158,26.36,472
Indiana,133,1135293,28.74,208
Iowa,152,646391,29.91,108
Kansas,133,273834,33.44,44
Kentucky,256,1371360,9.26,316
Louisiana,184,1918801,44.9,266
Maine,105,425483,28.83,73
Maryland,49,2290671,44.91,277
Massachusetts,61,320208,59.15,35
Michigan,274,1916665,26.28,363
Minnesota,230,1696487,48.86,201
Mississippi,154,1423544,40.23,219
Missouri,348,2558669,31.42,408
Montana,114,249082,45.81,31
Nebraska,115,135714,48.8,14
Nevada,70,1052887,24.57,204
New Hampshire,23,42823,23.02,10
New Jersey,40,313937,45.23,45
New Mexico,110,994618,16.1,207
New York,166,2794405,16.11,592
North Carolina,217,3540396,23.42,692
North Dakota,71,119626,29.61,16
Ohio,190,2706448,39.43,425
Oklahoma,192,1084104,45.58,168
Oregon,155,1552278,43.54,222
Pennsylvania,162,2257016,40.64,355
Rhode Island,16,226173,37.38,36
South Carolina,100,2001958,46.85,267
South Dakota,100,276608,27.0,46
Tennessee,164,2336739,31.56,401
Texas,359,3826317,25.51,717
Utah,62,212651,52.3,26
Vermont,15,48799,90.84,0
Virginia,182,2819320,51.64,318
Washington,221,3426843,61.76,315
West Virginia,123,719902,22.61,140
Wisconsin,167,1303099,33.29,220
Wyoming,30,59759,31.51,11
